jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros
Caio Alexandre,Bahia,MF,26-101,651,5,47,4,0,0,20,8,37,2,4,33.3,13,8,12,1
Jean Lucas,Bahia,MF,26-348,622,16,22,1,1,0,9,4,28,8,11,42.1,13,9,7,0
Gregore,Botafogo (RJ),MF,31-095,863,7,60,3,0,0,41,12,51,14,16,46.7,45,26,15,0
Marlon Freitas,Botafogo (RJ),MF,30-070,928,7,74,2,0,0,8,7,32,3,1,75.0,14,8,17,0
Dieguinho,Ceará,MF,29-217,967,5,28,1,0,0,5,15,57,12,13,48.0,25,10,25,1
Fernando Sobral,Ceará,MF,30-170,726,3,34,3,0,0,14,8,33,5,6,45.5,22,18,9,0
Lucas Mugni,Ceará,MF,33-144,709,6,27,2,0,0,17,3,42,4,6,40.0,24,19,1,2
André Carrillo,Corinthians,MF,33-356,611,16,42,0,0,0,12,8,39,0,8,0.0,11,6,3,0
Breno,Corinthians,MF,20-105,742,13,52,2,0,0,19,5,47,1,7,12.5,12,8,5,0
Raniele,Corinthians,MF,28-156,626,5,23,2,0,0,11,9,16,9,3,75.0,11,10,10,0
Lucas Romero,Cruzeiro,MF,31-048,853,4,41,3,0,0,12,10,42,7,8,46.7,25,13,15,1
Lucas Silva,Cruzeiro,MF,32-109,795,11,53,1,0,0,19,3,48,5,8,38.5,20,8,10,0
Matheus Pereira,Cruzeiro,MF,29-031,707,14,36,3,0,0,12,4,35,4,4,50.0,13,11,0,0
Erick Pulgar,Flamengo,MF,31-141,652,1,29,2,0,0,13,14,36,9,2,81.8,10,9,12,1
Giorgian De Arrascaeta,Flamengo,MF,31-004,679,18,36,0,0,0,3,1,20,5,5,50.0,11,7,0,0
Martinelli,Fluminense,MF,24-026,947,12,55,0,0,0,12,7,43,12,6,66.7,12,10,14,0
Lucas Sasha,Fortaleza,MF,35-096,657,8,20,0,0,0,12,9,38,9,8,52.9,32,19,10,0
Dodi,Grêmio,MF,29-049,691,5,22,2,0,0,9,11,36,3,3,50.0,13,8,17,0
Mathías Villasanti,Grêmio,MF,28-132,739,8,26,4,0,0,20,15,50,12,10,54.5,32,23,21,0
Jadson,Juventude,MF,31-279,891,4,38,3,0,0,16,14,55,3,9,25.0,16,8,15,1
Neto Moura,Mirassol,MF,28-303,644,1,43,3,0,0,13,12,31,6,7,46.2,15,8,14,0
Emiliano Martínez,Palmeiras,MF,25-292,605,5,21,1,0,0,12,8,34,7,6,53.8,23,16,11,0
Richard Ríos,Palmeiras,MF,25-003,643,9,29,4,0,0,20,8,45,6,8,42.9,11,7,6,0
Eric Ramires,RB Bragantino,MF,24-299,673,4,35,1,0,0,10,7,44,4,3,57.1,13,8,6,0
Gabriel,RB Bragantino,MF,32-330,799,6,42,2,0,0,17,10,46,4,6,40.0,27,17,16,0
João Schmidt,Santos,MF,32-017,613,1,45,2,0,0,13,9,35,13,5,72.2,12,8,15,0
Christian Rivera,Sport Recife,MF,29-142,661,3,25,4,0,0,20,8,54,7,2,77.8,16,12,8,3
Du Queiroz,Sport Recife,MF,25-137,615,16,36,0,0,0,12,5,31,1,7,12.5,8,6,4,0
Alisson,São Paulo,MF,31-345,838,11,45,3,0,0,9,7,50,3,11,21.4,13,6,11,2
Hugo Moura,Vasco da Gama,MF,27-153,769,5,30,3,0,0,19,9,31,5,4,55.6,21,10,33,2
Matheusinho,Vitória,MF,27-230,645,22,24,3,1,0,9,8,26,5,4,55.6,5,3,2,0
Ronald,Vitória,MF,27-352,650,15,42,2,0,0,15,3,42,2,4,33.3,13,9,4,0
