jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels 
Júnior Alonso,Atlético Mineiro,DF,922,11,58,63.2,24,14,11,2,0,0,5,10,50.0,10,0,63.2% (24/14)
Lyanco,Atlético Mineiro,DF,718,8,35,65.5,19,10,17,6,2,2,7,11,63.6,22,3,65.5% (19/10)
Natanael,Atlético Mineiro,DF,803,11,28,40.0,8,12,10,0,0,0,9,17,52.9,13,0,40.0% (8/12)
David Duarte,Bahia,DF,708,2,22,69.4,25,11,6,1,0,0,1,4,25.0,7,0,69.4% (25/11)
Gilberto,Bahia,DF,716,14,27,47.8,11,12,7,2,0,0,13,20,65.0,4,2,47.8% (11/12)
Luciano Juba,Bahia,DF,894,24,42,64.7,11,6,7,0,0,0,12,17,70.6,7,0,64.7% (11/6)
Santi Ramos Mingo,Bahia,DF,990,13,42,47.1,24,27,14,2,0,0,7,10,70.0,7,0,47.1% (24/27)
Jair Paula,Botafogo (RJ),DF,990,3,31,80.8,21,5,4,0,0,0,8,12,66.7,11,2,80.8% (21/5)
Vitinho,Botafogo (RJ),DF,880,16,25,53.3,8,7,12,1,0,0,14,22,63.6,7,0,53.3% (8/7)
Fabiano Souza,Ceará,DF,835,10,27,33.3,7,14,14,4,0,0,9,12,75.0,7,1,33.3% (7/14)
Marllon Borges,Ceará,DF,990,2,20,51.4,19,18,8,0,0,0,3,5,60.0,7,2,51.4% (19/18)
Matheus Bahia,Ceará,DF,619,6,16,33.3,2,4,8,2,0,0,12,17,70.6,8,0,33.3% (2/4)
Willian Machado,Ceará,DF,969,2,24,83.7,36,7,4,2,0,0,3,5,60.0,9,0,83.7% (36/7)
André Ramalho,Corinthians,DF,630,5,28,84.2,16,3,8,2,0,0,5,7,71.4,8,0,84.2% (16/3)
Cacá,Corinthians,DF,600,5,17,71.4,15,6,6,1,0,0,7,9,77.8,3,0,71.4% (15/6)
Matheuzinho,Corinthians,DF,710,16,50,12.5,1,7,7,4,0,0,13,23,56.5,13,1,12.5% (1/7)
Fabrício Bruno,Cruzeiro,DF,900,2,30,68.8,22,10,7,3,0,0,11,14,78.6,7,0,68.8% (22/10)
Kaiki,Cruzeiro,DF,984,22,37,41.4,12,17,21,2,0,0,17,22,77.3,16,0,41.4% (12/17)
Lucas Villalba,Cruzeiro,DF,704,12,24,57.1,16,12,3,3,0,0,6,7,85.7,7,0,57.1% (16/12)
Alex Sandro,Flamengo,DF,749,17,68,77.8,7,2,22,1,0,0,2,5,40.0,13,0,77.8% (7/2)
Leo Ortiz,Flamengo,DF,897,11,78,79.3,23,6,8,1,0,0,2,3,66.7,7,1,79.3% (23/6)
Léo Pereira,Flamengo,DF,897,5,42,55.2,16,13,4,1,0,0,6,13,46.2,4,1,55.2% (16/13)
Wesley,Flamengo,DF,712,21,31,38.5,5,8,13,3,0,0,9,17,52.9,9,1,38.5% (5/8)
Juan Freytes,Fluminense,DF,990,4,44,46.9,15,17,4,2,0,0,5,11,45.5,8,2,46.9% (15/17)
