jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Gustavo Scarpa,Atlético Mineiro,"MF,FW",871,0.7,2.4,0,1,18,70,33,53,83,6,0,0.0% (0/6),88
Hulk,Atlético Mineiro,"FW,MF",825,1.8,2.0,0,2,18,17,21,9,31,27,13,48.1% (13/27),35
Rony,Atlético Mineiro,"FW,MF",927,3.6,0.2,3,0,14,18,6,9,19,12,3,25.0% (3/12),32
Tomás Cuello,Atlético Mineiro,"FW,MF",675,1.7,0.6,1,0,39,37,16,19,15,49,27,55.1% (27/49),76
Caio Alexandre,Bahia,MF,658,0.1,1.0,0,1,5,47,6,51,7,9,5,55.6% (5/9),52
Erick Pulga,Bahia,"FW,MF",773,2.6,1.6,2,2,56,16,7,6,22,40,20,50.0% (20/40),72
Jean Lucas,Bahia,MF,624,0.9,1.1,0,0,16,22,5,10,6,11,10,90.9% (10/11),38
Artur,Botafogo (RJ),"FW,MF",692,1.7,0.7,2,3,27,25,12,13,18,32,16,50.0% (16/32),52
Gregore,Botafogo (RJ),MF,775,0.2,0.2,0,0,4,51,4,61,3,5,3,60.0% (3/5),55
Igor Jesus,Botafogo (RJ),FW,787,2.4,1.1,3,1,14,18,14,10,4,10,5,50.0% (5/10),32
Marlon Freitas,Botafogo (RJ),MF,853,0.1,0.3,0,2,5,64,11,63,5,2,1,50.0% (1/2),69
Antonio Galeano,Ceará,FW,828,0.9,0.4,1,0,17,17,5,16,23,15,1,6.7% (1/15),34
Dieguinho,Ceará,MF,890,0.0,0.7,0,2,4,23,3,18,0,17,11,64.7% (11/17),27
Fernando Sobral,Ceará,MF,659,0.0,0.2,0,0,3,34,7,27,11,5,2,40.0% (2/5),37
Lucas Mugni,Ceará,MF,646,0.3,1.6,1,3,6,26,17,24,46,29,16,55.2% (16/29),32
Pedro Raul,Ceará,FW,824,3.6,1.5,3,0,4,12,9,15,3,10,4,40.0% (4/10),16
André Carrillo,Corinthians,MF,617,0.1,1.4,0,0,16,42,13,45,20,14,7,50.0% (7/14),58
Breno,Corinthians,MF,747,0.1,0.5,0,1,13,52,9,43,4,14,5,35.7% (5/14),65
Memphis,Corinthians,FW,633,3.6,1.5,3,3,10,29,14,20,31,16,6,37.5% (6/16),39
Raniele,Corinthians,MF,633,0.1,0.4,0,0,5,23,4,15,0,10,4,40.0% (4/10),28
Yuri Alberto,Corinthians,FW,728,4.0,0.9,4,1,11,10,8,9,1,12,7,58.3% (7/12),21
Christian,Cruzeiro,FW,696,1.0,1.4,1,1,5,20,9,14,10,16,5,31.2% (5/16),25
