jogador,time,posicao,Minutos,PrgR,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Aerial Duels ,Acoes Ofensivas
Gustavo Scarpa,Atlético Mineiro,"MF,FW",868,38,0.7,2.4,0,1,18,70,31.3,5,11,31.3% (5/11),88
Hulk,Atlético Mineiro,"FW,MF",822,78,1.8,2.0,0,2,18,17,47.1,8,9,47.1% (8/9),35
Rony,Atlético Mineiro,"FW,MF",921,66,3.6,0.2,3,0,14,18,38.9,14,22,38.9% (14/22),32
Tomás Cuello,Atlético Mineiro,"FW,MF",673,85,1.7,0.6,1,0,39,37,28.6,4,10,28.6% (4/10),76
Caio Alexandre,Bahia,MF,651,9,0.1,1.0,0,1,5,47,33.3,2,4,33.3% (2/4),52
Erick Pulga,Bahia,"FW,MF",769,82,2.6,1.6,2,2,55,16,43.8,7,9,43.8% (7/9),71
Jean Lucas,Bahia,MF,622,28,0.8,1.1,0,0,16,22,42.1,8,11,42.1% (8/11),38
Artur,Botafogo (RJ),"FW,MF",687,69,1.7,0.7,2,3,27,25,44.4,4,5,44.4% (4/5),52
Gregore,Botafogo (RJ),MF,773,10,0.2,0.2,0,0,4,51,48.3,14,15,48.3% (14/15),55
Igor Jesus,Botafogo (RJ),FW,785,46,2.4,1.1,3,1,14,18,44.8,30,37,44.8% (30/37),32
Marlon Freitas,Botafogo (RJ),MF,848,8,0.1,0.3,0,2,5,64,100.0,3,0,100.0% (3/0),69
Antonio Galeano,Ceará,FW,820,50,0.9,0.4,1,0,17,17,34.6,9,17,34.6% (9/17),34
Dieguinho,Ceará,MF,888,3,0.0,0.7,0,2,4,23,52.2,12,11,52.2% (12/11),27
Fernando Sobral,Ceará,MF,654,6,0.0,0.2,0,0,3,34,44.4,4,5,44.4% (4/5),37
Lucas Mugni,Ceará,MF,637,28,0.3,1.7,1,3,6,26,44.4,4,5,44.4% (4/5),32
